species,bud,stage D,pre-A,gene
AP,511.399,3207.632,4284.721,CHS
AP,153.274,502.542,629.846,CHI
AP,124.751,203.046,2127.059,F3H
AP,4.498,5.595,6.772,F3'H
AP,8.956,232.305,2067.366,F3'5'H
AP,191.666,241.163,1148.056,DFR
AP,14.563,35.434,43.664,ANS
AM,1.573,0,0,CHS
AM,192.612,226.318,90.128,CHI
AM,259.711,78.471,116.263,F3H
AM,99.993,80.68,49.573,F3'H
AM,18.444,156.06,82.816,F3'5'H
AM,0,1.147,0.158,DFR
AM,0,1.516,1.495,ANS
AE,376.502,1776.631,644.436,CHS
AE,2.523,4.114,3.363,CHI
AE,58.498,191.236,382.478,F3H
AE,107.619,22.755,9.257,F3'H
AE,0.165,0.382,0.589,F3'5'H
AE,63.607,2701.655,2056.818,DFR
AE,0.532,324.806,482.601,ANS
AC,194.432,475.687,268.825,CHS
AC,74.589,175.707,209.499,CHI
AC,27.108,14.319,358.195,F3H
AC,18.893,10.546,9.873,F3'H
AC,11.987,51.69,393.388,F3'5'H
AC,5.854,2.852,147.118,DFR
AC,1.159,2.2834,361.306,ANS
